tweet_id,distribution1,distribution2,predicted
11557,1.0,1.33607579241e-141,n
10949,0.0575524197802,0.94244758022,y
10951,0.0836928000007,0.916307199999,y
13949,0.0504259017283,0.949574098272,y
14110,0.746756529818,0.253243470182,n
13950,0.161513942686,0.838486057314,y
10952,0.0993045846504,0.90069541535,y
10953,0.184692731536,0.815307268464,y
10954,0.118294011577,0.881705988423,y
13953,0.421468904786,0.578531095214,y
10955,0.0735811758029,0.926418824197,y
10950,0.0585132002034,0.941486799797,y
10956,0.089099832616,0.910900167384,y
10957,0.0757608782336,0.924239121766,y
13955,0.107123871558,0.892876128442,y
14111,0.0975605972912,0.902439402709,y
11102,0.637850728951,0.362149271049,n
13952,0.177353302537,0.822646697463,y
11107,0.999357928118,0.000642071882115,n
13951,0.457938788209,0.542061211791,y
13956,0.221189280139,0.778810719861,y
10960,0.167234986221,0.832765013779,y
10961,1.0,2.94684840409e-13,n
10958,0.19029581099,0.80970418901,y
14420,0.583346076708,0.416653923292,n
13957,0.00900623273854,0.990993767261,y
11307,0.0925296196221,0.907470380378,y
10959,0.98998141325,0.0100185867504,n
14074,0.334795076915,0.665204923085,y
13958,0.0654957814779,0.934504218522,y
10963,0.999999999999,9.20159846627e-13,n
10964,0.459552794182,0.540447205818,y
10962,1.0,8.74706364017e-16,n
13954,0.0708300309353,0.929169969065,y
10965,1.0,5.00202794182e-20,n
10967,0.565537206226,0.434462793774,n
13960,0.0991036345982,0.900896365402,y
10968,0.999999999884,1.16272475569e-10,n
13959,0.504130720183,0.495869279817,n
10969,0.769492021794,0.230507978206,n
10966,0.999999999994,6.05249820718e-12,n
10970,1.0,1.25369034846e-76,n
13961,0.0362899762697,0.96371002373,y
10971,0.144825121678,0.855174878322,y
10972,1.0,5.14821032981e-78,n
13962,0.120442817533,0.879557182467,y
10974,0.999033393483,0.00096660651728,n
10975,1.0,8.10642545667e-16,n
13963,0.683875247519,0.316124752481,n
13964,0.193737170409,0.806262829591,y
10976,1.0,1.07052614926e-73,n
14081,0.120471974134,0.879528025866,y
13965,0.121760417193,0.878239582807,y
10980,0.11549820548,0.88450179452,y
10978,0.946892877761,0.0531071222387,n
10977,0.999999993192,6.80768162707e-09,n
10973,0.0969891798321,0.903010820168,y
11377,0.999986836574,1.3163425628e-05,n
11094,0.999999957077,4.2922919732e-08,n
10981,0.978624428477,0.0213755715227,n
10979,0.259659874759,0.740340125241,y
10983,0.982401841607,0.0175981583931,n
10982,0.998334274297,0.0016657257026,n
11420,0.231921712858,0.768078287142,y
13967,0.243279327883,0.756720672117,y
10986,0.999081698976,0.00091830102367,n
10984,0.967403944475,0.0325960555251,n
13966,0.0861266803118,0.913873319688,y
10985,0.985289351842,0.0147106481585,n
13969,0.907960558072,0.0920394419284,n
10988,0.985686910401,0.0143130895986,n
10987,0.0933907235366,0.906609276463,y
13970,0.999999999318,6.82046997117e-10,n
10990,0.330100681856,0.669899318144,y
10989,0.12180276063,0.87819723937,y
10992,0.0985356263639,0.901464373636,y
10991,0.999999753434,2.46565941099e-07,n
10993,0.0985695558083,0.901430444192,y
13972,0.999983167426,1.68325740441e-05,n
10994,0.723596095362,0.276403904638,n
13968,0.0810552967707,0.918944703229,y
10995,0.999869710813,0.000130289186778,n
10997,0.0238437155701,0.97615628443,y
10996,0.999793048528,0.000206951471976,n
13975,0.107470697236,0.892529302764,y
13976,0.854486874535,0.145513125465,n
11000,0.963829195722,0.0361708042777,n
13973,0.0942924355136,0.905707564486,y
13977,0.562131421406,0.437868578594,n
13974,0.301438339546,0.698561660454,y
11001,0.184025586142,0.815974413858,y
11002,0.200407376185,0.799592623815,y
13971,0.720230692313,0.279769307687,n
11431,0.149451410875,0.850548589125,y
11003,0.999999999977,2.3298182122e-11,n
11004,0.137689773505,0.862310226495,y
10998,0.467120172518,0.532879827482,y
11005,0.758688268717,0.241311731283,n
13979,0.985314477849,0.0146855221514,n
11008,0.999999992641,7.35883401439e-09,n
11006,0.305925693284,0.694074306716,y
10999,0.196880809297,0.803119190703,y
11007,0.999999999956,4.37634219821e-11,n
13980,0.986826337552,0.0131736624482,n
11009,0.106723899285,0.893276100715,y
11010,0.0797734379257,0.920226562074,y
11013,0.151180973017,0.848819026983,y
11011,0.869702323104,0.130297676896,n
11014,1.0,6.04088399834e-15,n
11012,0.163802161271,0.836197838729,y
13982,0.982642037071,0.0173579629289,n
13983,0.93582362958,0.0641763704197,n
13984,0.97143980686,0.0285601931404,n
11017,0.159375894119,0.840624105881,y
13978,0.978140762094,0.0218592379063,n
11018,0.0446873222233,0.955312677777,y
11015,1.0,2.47374086451e-76,n
11016,0.161775509332,0.838224490668,y
11024,0.235480332202,0.764519667798,y
11029,0.789323492989,0.210676507011,n
11032,0.0882304597947,0.911769540205,y
11034,0.093841987781,0.906158012219,y
11039,0.0806902943371,0.919309705663,y
11041,0.0560525312633,0.943947468737,y
11042,0.0837141650777,0.916285834922,y
11046,0.0777727177681,0.922227282232,y
11049,0.0537160845607,0.946283915439,y
11051,0.112213762036,0.887786237964,y
11053,0.104464330744,0.895535669256,y
11057,0.0837664555043,0.916233544496,y
11055,0.0809555931863,0.919044406814,y
11061,0.0910422275027,0.908957772497,y
11064,1.0,1.54739758386e-78,n
